id,name,img,artist,genre(s),mc rating,usr rating
/music/start-something/lostprophets,Start Something,http://static.metacritic.com/images/products/music/2/d1368a77094336f39d046c4ce9ff5a53-98.jpg,Lostprophets,"Rock,Alternative,Metal",70,8.9
/music/liberation-transmission/lostprophets,Liberation Transmission,http://static.metacritic.com/images/products/music/9/502ab5d2d376b56078f187efbbb52801-98.jpg,Lostprophets,"Rock,Alternative,Metal",73,7.9
/music/the-betrayed/lostprophets,The Betrayed,http://static.metacritic.com/images/products/music/2/e2be73d42ba2c618d860d27c2a7cc3e3-98.jpg,Lostprophets,"Rock,Metal",67,7.9
/music/weapons/lostprophets,Weapons,http://static.metacritic.com/images/products/music/0/d56bff4a3877b316e1ac3188c4c6b66e-98.jpg,Lostprophets,"Pop/Rock,Alternative Metal,Heavy Metal",56,6.4
/music/heterocetera-ep/lotic,Heterocetera [EP],http://static.metacritic.com/images/products/music/2/98786d339e6d5f6ab489715106d4a955-98.jpg,Lotic,"Electronic,Rap,Underground Rap",84,7
/music/the-floodlight-collective/lotus-plaza,The Floodlight Collective,http://static.metacritic.com/images/products/music/5/27b92ad7e170e3c60553e81880ec1b9b-98.jpg,Lotus Plaza,"Rock,Experimental",73,8.7
/music/spooky-action-at-a-distance/lotus-plaza,Spooky Action at a Distance,http://static.metacritic.com/images/products/music/3/38c5bfb198c8668d0dc201a22f6769d4-98.jpg,Lotus Plaza,"Pop/Rock,Alternative/Indie Rock,Indie Rock",74,8.3
/music/emoh/lou-barlow,Emoh,http://static.metacritic.com/images/products/music/9/fcecdcc62a4dd8976f446a13758888c0-98.jpg,Lou Barlow,"Indie,Rock",63,8.9
/music/goodnight-unknown/lou-barlow,Goodnight Unknown,http://static.metacritic.com/images/products/music/5/c626f84fea00528e2d04aca7d0ad0593-98.jpg,Lou Barlow,"Rock,Alternative",68,
/music/brace-the-wave/lou-barlow,Brace the Wave,http://static.metacritic.com/images/products/music/2/b468169a8356770f258745ee08832065-98.jpg,Lou Barlow,"Pop/Rock,Alternative/Indie Rock",71,
/music/ecstasy/lou-reed,Ecstasy,http://static.metacritic.com/images/products/music/6/abb5c4bf541db5e3f969438d2ae01d06-98.jpg,Lou Reed,"Rock,Alternative",69,7.9
/music/the-raven/lou-reed,The Raven,http://static.metacritic.com/images/products/music/7/50ea5cdeed34d258aa0be5ffd88397d8-98.jpg,Lou Reed,"Rock,Alternative",54,8.3
/music/animal-serenade/lou-reed,Animal Serenade,http://static.metacritic.com/images/products/music/7/8f70c7b9fa615bdccffe8cd52e286343-98.jpg,Lou Reed,"Rock,Live",71,8.6
/music/berlin-live-at-st-anns-warehouse-live/lou-reed,Berlin: Live At St. Ann's Warehouse [Live],http://static.metacritic.com/images/products/music/3/fe937fc3cafb7dda142730a75396a02c-98.jpg,Lou Reed,"Rock,Live",70,7.5
/music/lulu/lou-reed,Lulu,http://static.metacritic.com/images/products/music/9/05953f7538c2af78c2b8e8efabf98384-98.jpg,Lou Reed,"Avant-Garde,Pop/Rock,Contemporary Pop/Rock",45,2.3
