CMDLINE /Users/michael/anaconda3/bin/python metacritic_svd.py
MEM 422.746094 1520217642.8166
MEM 422.746094 1520217642.9188
MEM 435.113281 1520217643.0196
MEM 444.023438 1520217643.1207
MEM 527.347656 1520217643.2210
MEM 634.035156 1520217643.3241
MEM 750.890625 1520217643.4244
MEM 873.609375 1520217643.5280
MEM 1010.246094 1520217643.6330
MEM 1142.234375 1520217643.7364
MEM 1257.960938 1520217643.8387
MEM 1367.703125 1520217643.9430
MEM 1494.324219 1520217644.0447
MEM 1610.871094 1520217644.1462
MEM 1730.800781 1520217644.2497
MEM 1790.398438 1520217644.3499
MEM 1872.878906 1520217644.4503
MEM 1958.351562 1520217644.5520
MEM 1992.863281 1520217644.6527
MEM 2026.156250 1520217644.7569
MEM 2084.488281 1520217644.8586
MEM 2139.132812 1520217644.9593
MEM 2187.105469 1520217645.0597
MEM 2237.753906 1520217645.1603
MEM 2278.476562 1520217645.2650
MEM 2314.363281 1520217645.3688
MEM 2360.933594 1520217645.4715
MEM 2360.933594 1520217645.5765
MEM 2360.933594 1520217645.6770
MEM 2360.941406 1520217645.7778
MEM 2360.957031 1520217645.8791
MEM 2360.957031 1520217645.9835
MEM 2360.957031 1520217646.0839
MEM 2360.957031 1520217646.1861
MEM 2360.957031 1520217646.2901
MEM 2360.957031 1520217646.3907
MEM 2360.957031 1520217646.4910
MEM 2360.957031 1520217646.5922
MEM 2360.957031 1520217646.6965
MEM 2360.957031 1520217646.7968
MEM 2360.957031 1520217646.9004
MEM 2360.957031 1520217647.0028
MEM 2360.957031 1520217647.1069
MEM 2360.957031 1520217647.2076
MEM 2360.957031 1520217647.3096
MEM 2360.957031 1520217647.4099
MEM 2360.957031 1520217647.5107
MEM 2360.957031 1520217647.6110
MEM 2360.957031 1520217647.7121
MEM 2360.957031 1520217647.8126
MEM 2360.957031 1520217647.9159
MEM 2360.957031 1520217648.0167
MEM 2360.957031 1520217648.1177
MEM 2360.957031 1520217648.2186
MEM 2360.957031 1520217648.3224
MEM 2360.957031 1520217648.4251
MEM 2360.957031 1520217648.5257
MEM 2360.957031 1520217648.6267
MEM 2360.957031 1520217648.7273
MEM 2360.957031 1520217648.8276
MEM 2360.957031 1520217648.9301
MEM 2360.957031 1520217649.0331
MEM 2360.957031 1520217649.1383
MEM 2360.957031 1520217649.2436
MEM 2360.957031 1520217649.3439
MEM 2360.957031 1520217649.4444
MEM 2360.957031 1520217649.5450
MEM 2360.957031 1520217649.6455
MEM 2360.957031 1520217649.7459
MEM 2360.957031 1520217649.8463
MEM 2360.957031 1520217649.9505
MEM 2360.957031 1520217650.0543
MEM 2360.957031 1520217650.1576
MEM 2360.957031 1520217650.2584
MEM 2360.957031 1520217650.3595
MEM 2360.957031 1520217650.4614
FUNC __main__.do_everything 100.1055 1520217633.4077 393.7773 1520217653.6338
MEM 2360.957031 1520217650.5637
MEM 2360.957031 1520217650.6641
MEM 2360.957031 1520217650.7644
MEM 2360.957031 1520217650.8647
MEM 2360.957031 1520217650.9699
MEM 2360.957031 1520217651.0737
MEM 2360.957031 1520217651.1754
MEM 2360.957031 1520217651.2793
MEM 2360.957031 1520217651.3816
MEM 2360.957031 1520217651.4846
MEM 2360.945312 1520217651.5868
MEM 2360.921875 1520217651.6872
MEM 2360.921875 1520217651.7908
MEM 2360.921875 1520217651.8918
MEM 2360.921875 1520217651.9923
MEM 2360.921875 1520217652.0959
MEM 2360.921875 1520217652.1969
MEM 2360.921875 1520217652.2971
MEM 2360.921875 1520217652.4019
MEM 2360.921875 1520217652.5071
MEM 2360.921875 1520217652.6088
MEM 2360.921875 1520217652.7093
MEM 2360.921875 1520217652.8135
MEM 2360.921875 1520217652.9143
MEM 2360.921875 1520217653.0160
MEM 2360.921875 1520217653.1164
MEM 2360.921875 1520217653.2188
MEM 2365.496094 1520217653.3195
MEM 2368.882812 1520217653.4211
MEM 1343.121094 1520217653.5262
MEM 427.800781 1520217653.6267
MEM 393.281250 1520217653.7280
MEM 247.625000 1520217653.8331
MEM 246.632812 1520217653.9359
MEM 243.644531 1520217654.0366
